iter	MultiClass
0	0.192010905
1	0.7315150584
2	4.708081088
3	14.46471019
4	15.80509916
5	68.98179383
6	628.710612
7	316.3937796
8	316.2136328
9	256.7261012
10	269.2520866
11	293.857415
12	230.3088194
13	205.3166151
14	197.6423688
15	184.4706406
16	168.1016082
17	159.9662974
18	154.7938119
19	146.6666979
20	140.3763502
21	134.0878316
22	128.5504241
23	123.7162298
24	121.296676
25	115.3011826
26	113.4949591
27	110.6062333
28	108.9029902
29	107.5932914
30	105.6814916
31	103.8513871
32	101.6587663
33	100.0001802
34	98.35140138
35	95.93442284
36	93.25891609
37	92.28914114
38	91.2735456
39	89.68932332
40	87.97951248
41	87.10988518
42	86.26073594
43	85.36353488
44	84.85680246
45	83.76444803
46	82.35655538
47	81.43307582
48	81.14783819
49	79.94411197
50	79.09818716
51	78.18022008
52	77.38440275
53	76.65088657
54	75.25225698
55	74.28102902
56	74.0809497
57	73.11670671
58	71.76132159
59	70.96796449
60	70.80068405
61	70.20521297
62	69.32192416
63	68.18524839
64	68.21084701
65	67.63425087
66	66.61267056
67	66.38511043
68	65.44933171
69	64.78675796
70	63.95651266
71	63.40851041
72	63.03157078
73	62.70948999
74	62.08431911
75	61.59005264
76	61.07923555
77	60.64852195
78	60.10702142
79	59.54416576
80	59.24527405
81	58.83794207
82	58.42998818
83	57.8295266
84	58.53987642
85	57.5398326
86	56.87980797
87	57.04555166
88	56.5083098
89	55.56149411
90	55.56940458
91	55.25037527
92	54.62275626
93	54.41614131
94	54.09482856
95	53.49412984
96	53.51479926
97	53.39162699
98	52.42451369
99	52.39944031
