iter	Passed	Remaining
0	38388	3800510
1	75887	3718495
2	110300	3566391
3	144493	3467851
4	178913	3399348
5	213581	3346107
6	249101	3309492
7	285126	3278959
8	320849	3244143
9	356043	3204389
10	390216	3157207
11	425421	3119754
12	460765	3083587
13	495864	3046026
14	530689	3007241
15	565807	2970490
16	601079	2934684
17	636627	2900193
18	672442	2866726
19	707282	2829130
20	742497	2793204
21	777472	2756493
22	812402	2719782
23	848070	2685556
24	884639	2653917
25	921238	2621985
26	957061	2587611
27	991632	2549913
28	1026136	2512264
29	1061240	2476227
30	1096140	2439797
31	1131473	2404380
32	1166620	2368593
33	1201422	2332172
34	1236833	2296976
35	1271949	2261243
36	1307268	2225888
37	1342087	2189721
38	1377495	2154543
39	1412760	2119140
40	1447588	2083114
41	1482558	2047342
42	1517962	2012182
43	1553948	1977752
44	1588999	1942110
45	1623982	1906413
46	1659242	1871060
47	1694548	1835760
48	1729812	1800417
49	1765024	1765024
50	1800602	1729990
51	1836253	1695002
52	1873022	1660981
53	1908079	1625400
54	1945697	1591934
55	1981357	1556780
56	2016393	1521139
57	2051498	1485567
58	2086064	1449638
59	2121619	1414412
60	2156971	1379047
61	2192233	1343627
62	2226896	1307859
63	2262439	1272622
64	2300545	1238755
65	2336675	1203741
66	2371994	1168295
67	2407905	1133132
68	2445348	1098634
69	2481225	1063382
70	2516496	1027864
71	2551182	992126
72	2586678	956716
73	2622610	921457
74	2658507	886169
75	2693773	850665
76	2729110	815188
77	2764973	779864
78	2799964	744294
79	2835414	708853
80	2871727	673614
81	2908212	638388
82	2944640	603119
83	2980563	567726
84	3015560	532157
85	3051173	496702
86	3085862	461105
87	3121329	425635
88	3156629	390145
89	3192064	354673
90	3227197	319173
91	3262176	283667
92	3297461	248196
93	3332339	212702
94	3367654	177244
95	3403444	141810
96	3438439	106343
97	3473391	70885
98	3508354	35437
99	3543725	0
